event-id,visible,timestamp,location-long,location-lat,location-error-text,sensor-type,individual-taxon-canonical-name,tag-local-identifier,individual-local-identifier,study-name
2549644642,true,2014-03-21 09:09:32.000,-49.9,-15.75,"-18.45:-50.19:-10.8:-49.8","solar-geolocator","Hirundo rustica","H974","H974","Argentine Barn Swallows"
2549644643,true,2014-03-21 21:47:44.000,-49.9,-15.75,"-18.45:-50.18:-10.8:-49.8","solar-geolocator","Hirundo rustica","H974","H974","Argentine Barn Swallows"
2549644644,true,2014-03-22 09:12:35.000,-49.9,-15.3,"-18.45:-50.18:-10.8:-49.8","solar-geolocator","Hirundo rustica","H974","H974","Argentine Barn Swallows"
2549644645,true,2014-03-22 21:47:11.000,-49.9,-15.3,"-18.45:-50.17:-10.8:-49.8","solar-geolocator","Hirundo rustica","H974","H974","Argentine Barn Swallows"
2549644646,true,2014-03-23 09:18:04.000,-49.9,-15.3,"-18.45:-50.18:-10.8:-49.8","solar-geolocator","Hirundo rustica","H974","H974","Argentine Barn Swallows"
2549644647,true,2014-03-23 21:48:21.000,-49.9,-15.3,"-18.45:-50.18:-10.8:-49.8","solar-geolocator","Hirundo rustica","H974","H974","Argentine Barn Swallows"
2549644648,true,2014-03-24 09:11:24.000,-49.9,-15.3,"-18.45:-50.29:-10.8:-49.8","solar-geolocator","Hirundo rustica","H974","H974","Argentine Barn Swallows"
2549644649,true,2014-03-25 09:07:41.000,-49.91,-15.3,"-21.15:-50.83:-10.8:-49.8","solar-geolocator","Hirundo rustica","H974","H974","Argentine Barn Swallows"
2549644650,true,2014-03-25 21:44:54.000,-49.91,-14.85,"-21.15:-50.83:-10.8:-49.8","solar-geolocator","Hirundo rustica","H974","H974","Argentine Barn Swallows"
2549644651,true,2014-03-26 09:11:21.000,-49.91,-15.3,"-21.15:-50.83:-10.8:-49.8","solar-geolocator","Hirundo rustica","H974","H974","Argentine Barn Swallows"
2549644652,true,2014-03-26 21:47:37.000,-49.91,-15.3,"-21.15:-50.83:-10.8:-49.8","solar-geolocator","Hirundo rustica","H974","H974","Argentine Barn Swallows"
2549644653,true,2014-03-27 09:11:24.000,-49.91,-15.3,"-21.15:-50.83:-10.8:-49.8","solar-geolocator","Hirundo rustica","H974","H974","Argentine Barn Swallows"
2549644654,true,2014-03-27 21:45:15.000,-49.92,-14.85,"-21.15:-50.89:-10.8:-49.8","solar-geolocator","Hirundo rustica","H974","H974","Argentine Barn Swallows"
2549644655,true,2014-03-28 09:10:09.000,-49.99,-14.85,"-22.05:-50.89:-10.8:-49.8","solar-geolocator","Hirundo rustica","H974","H974","Argentine Barn Swallows"
2549644656,true,2014-03-28 21:44:28.000,-49.99,-14.85,"-22.05:-50.89:-9.45:-49.8","solar-geolocator","Hirundo rustica","H974","H974","Argentine Barn Swallows"
2549644657,true,2014-03-29 09:10:09.000,-49.99,-14.4,"-22.05:-50.9:-9.45:-49.8","solar-geolocator","Hirundo rustica","H974","H974","Argentine Barn Swallows"
2549644658,true,2014-03-29 21:52:11.000,-49.99,-14.4,"-22.5:-50.9:-9.45:-49.8","solar-geolocator","Hirundo rustica","H974","H974","Argentine Barn Swallows"
2549644659,true,2014-03-30 09:11:24.000,-49.99,-14.4,"-22.5:-50.9:-9.45:-49.82","solar-geolocator","Hirundo rustica","H974","H974","Argentine Barn Swallows"
2549644660,true,2014-03-30 21:45:07.000,-49.99,-14.4,"-22.5:-50.9:-9.45:-49.82","solar-geolocator","Hirundo rustica","H974","H974","Argentine Barn Swallows"
2549644661,true,2014-03-31 09:11:21.000,-50.03,-13.95,"-22.5:-50.9:-9.45:-49.82","solar-geolocator","Hirundo rustica","H974","H974","Argentine Barn Swallows"
2549644662,true,2014-03-31 21:46:29.000,-50.03,-14.4,"-22.5:-50.96:-9.45:-49.82","solar-geolocator","Hirundo rustica","H974","H974","Argentine Barn Swallows"
2549644663,true,2014-04-01 09:15:09.000,-50.05,-14.4,"-22.5:-50.96:-9.45:-49.82","solar-geolocator","Hirundo rustica","H974","H974","Argentine Barn Swallows"
2549644664,true,2014-04-01 21:42:44.000,-50.17,-14.4,"-22.5:-50.96:-9.45:-49.82","solar-geolocator","Hirundo rustica","H974","H974","Argentine Barn Swallows"
